IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.36.24.111,2083,80,false,CDG,Europe,Paris,253,2.05
13.36.162.145,2053,80,false,CDG,Europe,Paris,253,2.05
13.36.162.145,2087,80,false,CDG,Europe,Paris,253,2.05
15.188.168.174,2095,80,false,CDG,Europe,Paris,253,2.05
13.36.253.240,2087,80,false,CDG,Europe,Paris,253,2.05
15.188.168.174,2087,80,false,CDG,Europe,Paris,251,2.05
15.188.168.174,2083,80,false,CDG,Europe,Paris,248,2.04
13.36.162.145,2086,80,false,CDG,Europe,Paris,248,2.04
13.36.24.111,2087,80,false,CDG,Europe,Paris,248,2.04
15.188.168.174,2096,80,false,CDG,Europe,Paris,248,2.04
15.188.168.174,2086,80,false,CDG,Europe,Paris,248,2.03
15.188.168.174,2053,80,false,CDG,Europe,Paris,254,2.03
15.188.168.174,2052,80,false,CDG,Europe,Paris,248,2.03
13.36.253.240,2083,80,false,CDG,Europe,Paris,253,2.03
13.36.63.124,2083,80,false,CDG,Europe,Paris,248,2.03
13.36.253.240,2086,80,false,CDG,Europe,Paris,253,2.03
13.36.162.145,2052,80,false,CDG,Europe,Paris,247,2.02
13.36.63.124,2096,80,false,CDG,Europe,Paris,248,2.02
13.36.162.145,2096,80,false,CDG,Europe,Paris,253,2.02
13.36.63.124,2052,80,false,CDG,Europe,Paris,254,2.02
13.36.162.145,2083,80,false,CDG,Europe,Paris,253,2.02
15.188.168.174,2082,80,false,CDG,Europe,Paris,254,2.01
13.36.162.145,2082,80,false,CDG,Europe,Paris,253,2.01
13.36.63.124,2095,80,false,CDG,Europe,Paris,248,2.00
15.161.216.233,2087,80,false,MXP,Europe,Milan,264,1.97
15.160.250.170,2083,80,false,MXP,Europe,Milan,269,1.96
15.160.252.181,2083,80,false,MXP,Europe,Milan,271,1.96
15.161.216.233,2096,80,false,MXP,Europe,Milan,264,1.95
15.161.186.110,2083,80,false,MXP,Europe,Milan,284,1.95
15.160.250.170,2052,80,false,MXP,Europe,Milan,269,1.94
15.161.74.249,2096,80,false,MXP,Europe,Milan,271,1.94
15.161.216.233,2083,80,false,MXP,Europe,Milan,266,1.94
15.161.74.249,2095,80,false,MXP,Europe,Milan,264,1.94
15.161.216.233,2086,80,false,MXP,Europe,Milan,266,1.94
15.160.250.170,2053,80,false,MXP,Europe,Milan,270,1.94
15.161.186.110,2096,80,false,MXP,Europe,Milan,263,1.94
15.161.74.249,2083,80,false,MXP,Europe,Milan,263,1.94
15.160.250.170,2096,80,false,MXP,Europe,Milan,264,1.94
15.161.186.110,2053,80,false,MXP,Europe,Milan,265,1.93
15.161.186.110,2052,80,false,MXP,Europe,Milan,269,1.93
15.160.250.170,2087,80,false,MXP,Europe,Milan,265,1.93
15.160.252.181,2082,80,false,MXP,Europe,Milan,266,1.93
15.160.252.181,2052,80,false,MXP,Europe,Milan,265,1.93
15.160.250.170,2082,80,false,MXP,Europe,Milan,272,1.93
15.160.252.181,2086,80,false,MXP,Europe,Milan,264,1.93
15.161.216.233,2082,80,false,MXP,Europe,Milan,270,1.93
15.161.40.69,2086,80,false,MXP,Europe,Milan,269,1.93
15.160.252.181,2095,80,false,MXP,Europe,Milan,270,1.93
15.160.252.181,2087,80,false,MXP,Europe,Milan,271,1.93
15.161.216.233,2053,80,false,MXP,Europe,Milan,264,1.93
15.160.250.170,2086,80,false,MXP,Europe,Milan,267,1.93
15.161.40.69,2083,80,false,MXP,Europe,Milan,265,1.93
15.161.186.110,2087,80,false,MXP,Europe,Milan,271,1.93
15.160.250.170,2095,80,false,MXP,Europe,Milan,264,1.93
15.161.40.69,2096,80,false,MXP,Europe,Milan,265,1.92
15.160.252.181,2096,80,false,MXP,Europe,Milan,270,1.92
15.161.40.69,2095,80,false,MXP,Europe,Milan,272,1.92
15.161.74.249,2052,80,false,MXP,Europe,Milan,271,1.92
15.161.216.233,2052,80,false,MXP,Europe,Milan,264,1.92
15.161.74.249,2087,80,false,MXP,Europe,Milan,266,1.91
15.161.40.69,2053,80,false,MXP,Europe,Milan,265,1.91
15.160.252.181,2053,80,false,MXP,Europe,Milan,265,1.90
15.161.186.110,2086,80,false,MXP,Europe,Milan,264,1.90
15.161.40.69,2052,80,false,MXP,Europe,Milan,270,1.89
15.161.40.69,2082,80,false,MXP,Europe,Milan,264,1.89
13.49.119.167,2086,80,false,ARN,Europe,Stockholm,273,1.89
15.161.74.249,2082,80,false,MXP,Europe,Milan,272,1.88
15.161.186.110,2095,80,false,MXP,Europe,Milan,269,1.88
13.49.6.192,2095,80,false,ARN,Europe,Stockholm,273,1.88
54.184.120.165,443,443,true,SEA,North America,Seattle,265,1.88
