IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.12.139,443,443,true,FRA,Europe,Frankfurt,258,5.55
150.230.122.129,443,443,true,FRA,Europe,Frankfurt,296,5.55
158.101.203.93,443,443,true,FRA,Europe,Frankfurt,279,5.53
152.70.189.128,443,443,true,FRA,Europe,Frankfurt,252,5.53
84.235.161.79,443,443,true,FRA,Europe,Frankfurt,256,5.53
158.180.60.98,443,443,true,FRA,Europe,Frankfurt,284,5.52
84.235.171.90,443,443,true,FRA,Europe,Frankfurt,269,5.51
150.230.115.114,443,443,true,FRA,Europe,Frankfurt,275,5.51
130.162.186.115,443,443,true,FRA,Europe,Frankfurt,226,5.50
141.148.242.139,443,443,true,FRA,Europe,Frankfurt,261,5.50
84.235.171.14,443,443,true,FRA,Europe,Frankfurt,268,5.47
138.2.147.19,443,443,true,FRA,Europe,Frankfurt,247,5.46
140.238.83.205,443,443,true,FRA,Europe,Frankfurt,255,5.44
141.147.98.112,443,443,true,FRA,Europe,Frankfurt,264,5.41
158.178.153.136,443,443,true,FRA,Europe,Frankfurt,259,5.38
158.180.46.226,443,443,true,FRA,Europe,Frankfurt,249,5.37
143.47.188.199,443,443,true,FRA,Europe,Frankfurt,260,5.37
64.110.88.200,8443,80,false,ICN,Asia Pacific,Seoul,100,5.37
143.47.224.51,443,443,true,FRA,Europe,Frankfurt,272,5.36
141.144.204.171,443,443,true,FRA,Europe,Frankfurt,253,5.33
89.168.104.124,443,443,true,FRA,Europe,Frankfurt,249,5.33
141.147.74.82,443,443,true,FRA,Europe,Frankfurt,267,5.33
152.67.142.150,443,443,true,FRA,Europe,Frankfurt,270,5.32
141.147.107.248,443,443,true,FRA,Europe,Frankfurt,255,5.26
141.144.196.73,443,443,true,FRA,Europe,Frankfurt,257,5.26
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,99,5.22
130.61.192.134,443,443,true,FRA,Europe,Frankfurt,247,5.22
131.186.28.236,443,443,true,NRT,Asia Pacific,Tokyo,97,5.22
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,112,5.21
138.3.240.135,443,443,true,FRA,Europe,Frankfurt,247,5.21
141.144.203.95,443,443,true,FRA,Europe,Frankfurt,254,5.20
89.168.88.56,443,443,true,FRA,Europe,Frankfurt,254,5.20
141.147.114.121,443,443,true,FRA,Europe,Frankfurt,267,5.16
141.147.96.128,443,443,true,FRA,Europe,Frankfurt,271,5.15
152.67.142.76,443,443,true,FRA,Europe,Frankfurt,277,5.14
143.47.190.122,443,443,true,FRA,Europe,Frankfurt,254,5.11
141.148.229.36,443,443,true,FRA,Europe,Frankfurt,260,5.11
150.230.125.110,443,443,true,FRA,Europe,Frankfurt,256,5.10
84.8.147.182,443,443,true,FRA,Europe,Frankfurt,263,5.10
141.147.178.154,443,443,true,NRT,Asia Pacific,Tokyo,68,5.10
141.147.102.62,443,443,true,FRA,Europe,Frankfurt,257,5.09
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,83,5.09
