IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.240.209.17,8443,443,true,ARN,Europe,Stockholm,206,8.95
4.223.138.155,8443,443,true,ARN,Europe,Stockholm,210,8.92
20.240.209.17,2053,443,true,ARN,Europe,Stockholm,211,8.78
20.240.254.247,2053,443,true,ARN,Europe,Stockholm,210,8.77
4.255.56.138,443,443,true,IAD,North America,Ashburn,224,8.77
20.150.194.248,443,443,true,LAX,North America,Los Angeles,180,8.50
20.240.254.247,8443,443,true,ARN,Europe,Stockholm,213,8.49
20.251.168.45,2087,443,true,CPH,Europe,Copenhagen,208,8.48
20.220.204.217,443,443,true,YYZ,North America,Toronto,217,8.40
13.92.140.255,80,80,false,IAD,North America,Ashburn,223,8.35
20.119.73.200,80,80,false,IAD,North America,Ashburn,221,8.29
20.75.178.96,443,443,true,IAD,North America,Ashburn,246,8.15
40.66.63.160,80,80,false,CDG,Europe,Paris,176,8.14
172.190.150.25,8443,443,true,IAD,North America,Ashburn,230,7.87
20.221.32.145,443,443,true,ORD,North America,Chicago,212,7.76
20.151.142.151,8443,443,true,YYZ,North America,Toronto,228,7.40
51.140.154.44,2086,2086,false,LHR,Europe,London,184,7.33
20.246.144.214,443,443,true,IAD,North America,Ashburn,225,7.23
13.68.186.91,443,443,true,IAD,North America,Ashburn,231,7.21
20.58.24.221,2086,2086,false,LHR,Europe,London,183,7.05
51.140.191.188,2086,2086,false,LHR,Europe,London,183,6.98
51.140.44.206,2086,2086,false,LHR,Europe,London,183,6.92
172.208.36.45,80,443,true,IAD,North America,Ashburn,221,6.48
172.208.36.45,443,443,true,IAD,North America,Ashburn,222,6.23
20.151.238.232,443,443,true,YYZ,North America,Toronto,220,6.23
51.107.6.220,8443,443,true,MXP,Europe,Milan,176,6.16
20.246.127.166,443,443,true,IAD,North America,Ashburn,225,5.76
51.107.6.128,8443,443,true,MXP,Europe,Milan,175,4.91
20.170.41.153,443,443,true,FRA,Europe,Frankfurt,179,4.54
4.182.18.130,443,80,false,FRA,Europe,Frankfurt,183,3.72
20.203.143.112,2053,80,false,ZRH,Europe,Zurich,175,2.83
20.203.143.114,2095,80,false,ZRH,Europe,Zurich,178,2.82
20.203.143.117,2095,80,false,ZRH,Europe,Zurich,178,2.81
20.203.143.112,2095,80,false,ZRH,Europe,Zurich,174,2.81
20.203.143.112,2096,80,false,ZRH,Europe,Zurich,178,2.80
20.203.143.117,2052,80,false,ZRH,Europe,Zurich,175,2.80
20.203.143.117,2082,80,false,ZRH,Europe,Zurich,177,2.79
20.203.143.114,2053,80,false,ZRH,Europe,Zurich,175,2.79
20.203.143.114,2096,80,false,ZRH,Europe,Zurich,175,2.79
20.203.143.112,2086,80,false,ZRH,Europe,Zurich,177,2.78
20.203.143.112,2082,80,false,ZRH,Europe,Zurich,178,2.78
20.203.143.114,2082,80,false,ZRH,Europe,Zurich,177,2.77
20.203.143.117,2086,80,false,ZRH,Europe,Zurich,177,2.74
20.203.143.114,2083,80,false,ZRH,Europe,Zurich,177,2.74
20.203.143.114,2052,80,false,ZRH,Europe,Zurich,177,2.74
20.203.143.117,2096,80,false,ZRH,Europe,Zurich,177,2.73
20.203.143.117,2083,80,false,ZRH,Europe,Zurich,178,2.58
20.203.143.112,2083,80,false,ZRH,Europe,Zurich,175,2.56
20.203.143.112,2087,80,false,ZRH,Europe,Zurich,177,2.55
20.203.143.112,2052,80,false,ZRH,Europe,Zurich,175,2.52
20.203.143.117,2053,80,false,ZRH,Europe,Zurich,177,2.51
20.203.143.117,2087,80,false,ZRH,Europe,Zurich,175,2.49
20.203.143.114,2087,80,false,ZRH,Europe,Zurich,175,2.49
20.203.143.114,2086,80,false,ZRH,Europe,Zurich,175,2.44
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,202,2.39
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,202,2.38
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,204,2.38
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,201,2.37
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,201,2.36
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,202,2.36
51.107.211.178,2086,80,false,CPH,Europe,Copenhagen,201,2.36
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,202,2.36
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,203,2.35
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,202,2.35
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,201,2.21
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,202,2.19
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,201,2.19
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,202,2.18
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,202,2.12
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,202,2.04
52.172.1.186,80,80,false,BOM,Asia Pacific,Mumbai,34,0.25
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,48,0.06
51.143.162.160,80,80,false,LHR,Europe,London,183,0.02
137.116.251.154,80,443,false,DUB,Europe,Dublin,194,0.02
20.81.104.97,80,443,false,IAD,North America,Ashburn,223,0.02
52.175.21.95,2053,443,true,HKG,Asia Pacific,Hong Kong,35,0.00
74.225.135.179,443,443,true,BOM,Asia Pacific,Mumbai,55,0.00
20.45.154.181,443,80,false,MEL,Oceania,Melbourne,85,0.00
20.233.1.56,8443,443,true,BOM,Asia Pacific,Mumbai,103,0.00
20.245.7.79,443,443,true,SJC,North America,San Jose,169,0.00
4.152.200.182,8080,80,false,IAD,North America,Ashburn,215,0.00
20.1.220.46,8080,80,false,IAD,North America,Ashburn,215,0.00
20.57.86.158,8080,80,false,IAD,North America,Ashburn,220,0.00
20.84.118.215,2053,443,true,IAD,North America,Ashburn,223,0.00
